31662015520540'5/2/2015,12:09:57.9314189,Metro,coach#3
871920155210461'5/2/2015,12:15:20.5881944,metroKc,1234
871920155210461'5/2/2015,12:19:03.1981743,MetroKc,3451
871920155210461'5/2/2015,12:20:06.5625023,MetroKc,4321
871920155210461'5/2/2015,12:23:57.4002457,MetroKc,3456
871920155210461'5/2/2015,12:34:47.0652454,MetroKc,6789
871920155210461'5/2/2015,12:35:51.2752507,MetroKc,7905
871920155210461'5/2/2015,12:37:18.7270346,ST ExpressBus,coach#3
871920155210461'5/2/2015,12:38:10.6344918,ST ExpressBus,coach#8
871920155210461'5/2/2015,12:42:57.4631598,ST ExpressBus,coach#3
871920155210461'5/2/2015,12:44:39.9312924,ST ExpressBus,coach#3
871920155210461'5/2/2015,12:46:04.3066223,ST ExpressBus,coach#1
871920155210461'5/2/2015,12:50:02.6343728,MetroKc,2345
86192015524225'5/2/2015,12:51:49.2124673,ST ExpressBus,coach#3
86192015524225'5/2/2015,13:00:00.4320653,ST ExpressBus,coach#8
86192015524225'5/2/2015,13:04:15.4068839,ST ExpressBus,coach#3
86192015524225'5/2/2015,13:07:46.2328410,ST ExpressBus,Coach#8
86192015524225'5/2/2015,13:09:49.3538104,ST ExpressBus,Coach#3
6095201553461'5/3/2015,10:15:05.8298753,MetroKc,254
493120155353290'5/3/2015,10:30:37.3838627,MetroKc,3467
457520155331653'5/3/2015,11:35:27.9324165,ST ExpressBus,Coach#3
457520155331653'5/3/2015,11:36:29.2755704,ST ExpressBus,Coach#8
457520155331653'5/3/2015,11:37:24.5783689,MetroKc,4325
